Object ID,ZCTA5,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Hispanic or Latino Householder",Total Households,Households with any self-employment income in past 12 months,Households with no self-employment income in past 12 months,Percent of households with any self-employment income,Shape Area,Shape Length
48209,10472,36005007000,204891,0,Census Tract 70,New York,Bronx County,39662.0,78944.0,40260.0,63667.0,26469.0,,,,,38818.0,54514.0,,38514.0,1296.0,109.0,1187.0,8.4,358224.9375,2511.64731016121
48210,10451,36005007100,264262,0,Census Tract 71,New York,Bronx County,41875.0,,50461.0,57898.0,28519.0,41094.0,,,,40972.0,,45625.0,42049.0,996.0,59.0,937.0,5.9,461864.9921875,3476.0949424859496
48211,10472,36005007200,213050,0,Census Tract 72,New York,Bronx County,39154.0,,25921.0,49426.0,18857.0,,,33750.0,,45997.0,31250.0,,37500.0,1633.0,189.0,1444.0,11.6,372503.203125,2997.19097519659
48212,10455,36005007300,140161,0,Census Tract 73,New York,Bronx County,20595.0,,21675.0,25521.0,12803.0,20000.0,,,,21127.0,6912.0,,22575.0,1428.0,84.0,1344.0,5.9,244939.6484375,2046.2332310006698
48213,10473,36005007400,187162,0,Census Tract 74,New York,Bronx County,38490.0,,34250.0,64500.0,24129.0,34808.0,,,,64000.0,,,39861.0,1326.0,44.0,1282.0,3.3,327126.5625,2584.65926290808
48214,10455,36005007500,227618,0,Census Tract 75,New York,Bronx County,30577.0,,43228.0,27829.0,17656.0,21087.0,,,,32135.0,,,33333.0,2296.0,87.0,2209.0,3.8,397828.0,2948.8213031434
48215,10472,36005007600,217217,0,Census Tract 76,New York,Bronx County,35369.0,48967.0,43606.0,28319.0,24063.0,40469.0,,29625.0,,36083.0,,20441.0,35610.0,1670.0,132.0,1538.0,7.9,379812.50390625,2682.26680639098
48216,10455,36005007700,112827,0,Census Tract 77,New York,Bronx County,39934.0,,38929.0,54375.0,19219.0,23182.0,,,,46591.0,,,42266.0,605.0,24.0,581.0,4.0,197201.9140625,1813.3161524491
48217,10472,36005007800,311879,0,Census Tract 78,New York,Bronx County,44144.0,,25767.0,59299.0,91995.0,62679.0,,73021.0,,34148.0,,,40536.0,2117.0,117.0,2000.0,5.5,545271.1328125,3558.5982149183797
48218,10455,36005007900,197930,0,Census Tract 79,New York,Bronx County,25589.0,,34963.0,19906.0,11955.0,16346.0,,,,32380.0,,,30027.0,2377.0,172.0,2205.0,7.2,345908.73046875,3026.8942589926896
48219,10455,36005008300,213932,0,Census Tract 83,New York,Bronx County,29939.0,,30778.0,38556.0,19531.0,40000.0,,,,21693.0,,,26484.0,2058.0,182.0,1876.0,8.8,373852.25390625,2758.66681398839
48220,10473,36005008400,156789,0,Census Tract 84,New York,Bronx County,83605.0,,82878.0,93333.0,70625.0,83869.0,,42500.0,,,53611.0,,83065.0,743.0,64.0,679.0,8.6,274010.0078125,2644.06542709036
48221,10455,36005008500,181658,0,Census Tract 85,New York,Bronx County,30158.0,,28952.0,31746.0,24500.0,30536.0,,,,26650.0,110284.0,,27037.0,1933.0,163.0,1770.0,8.4,317476.48828125,2600.68543501319
48222,10473,36005008600,187658,0,Census Tract 86,New York,Bronx County,23559.0,,48750.0,13413.0,19708.0,18631.0,,,,23641.0,,,27604.0,1466.0,43.0,1423.0,2.9,327997.58203125,2589.4099737611105
48223,10459,36005008700,213574,0,Census Tract 87,New York,Bronx County,26378.0,,33929.0,26583.0,16029.0,19000.0,,,,34343.0,,13625.0,31960.0,2037.0,140.0,1897.0,6.9,373289.80859375,2801.5376865798803
48224,10459,36005008900,110291,0,Census Tract 89,New York,Bronx County,24816.0,,40313.0,34125.0,11495.0,34250.0,,,,24844.0,40313.0,,25069.0,1155.0,83.0,1072.0,7.2,192765.80078125,2102.59626956035
48225,10465,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,26771.0,,28103.0,18984.0,49044.0,31953.0,,,,26205.0,,,20959.0,1197.0,0.0,1197.0,0.0,1778745.59375,11670.9095454748
48226,10462,36005009200,310475,0,Census Tract 92,New York,Bronx County,46421.0,19107.0,45268.0,60000.0,,54444.0,,38200.0,,37370.0,101111.0,,46448.0,1833.0,158.0,1675.0,8.6,542861.55859375,3696.42321185825
48227,10455,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,33708.0,31364.0,33917.0,36772.0,17786.0,44813.0,,,,22216.0,,,28388.0,1693.0,44.0,1649.0,2.6,4018113.5390625,10812.8062755401
48228,10461,36005009600,703455,15353,Census Tract 96,New York,Bronx County,47917.0,,33438.0,63583.0,15625.0,56771.0,,34375.0,,,,66667.0,29250.0,774.0,62.0,712.0,8.0,1256916.20703125,5046.2527646485105
48229,10473,36005009800,517450,0,Census Tract 98,New York,Bronx County,64500.0,,70457.0,73750.0,43077.0,78109.0,,131250.0,,68281.0,,,58250.0,1682.0,222.0,1460.0,13.2,904578.65234375,4113.522147690979
48230,10465,36005011000,2069297,452399,Census Tract 110,New York,Bronx County,,,,,,,,,,,,,,0.0,0.0,0.0,,3607727.734375,10518.245501281
48231,10474,36005011502,336295,10037,Census Tract 115.02,New York,Bronx County,23345.0,,17472.0,30515.0,15417.0,26458.0,,,,24473.0,,,23007.0,1250.0,106.0,1144.0,8.5,587784.43359375,3064.39179160365
48232,10474,36005011700,1357971,431176,Census Tract 117,New York,Bronx County,23149.0,,25938.0,18346.0,17946.0,21458.0,,,,21250.0,,,23221.0,545.0,15.0,530.0,2.8,2391680.265625,7067.76299011948
48233,10465,36005011800,989676,2876319,Census Tract 118,New York,Bronx County,84063.0,,115303.0,84632.0,39107.0,,,213125.0,,90647.0,,76979.0,90049.0,1605.0,66.0,1539.0,4.1,1890836.83203125,11249.0442814835
48234,10459,36005011900,166999,0,Census Tract 119,New York,Bronx County,28364.0,51125.0,38594.0,31250.0,12079.0,37641.0,,,,25556.0,50341.0,,22104.0,1920.0,110.0,1810.0,5.7,291913.44921875,2224.33813512231
48235,10459,36005012101,115615,0,Census Tract 121.01,New York,Bronx County,35588.0,27750.0,29375.0,58000.0,25729.0,40789.0,,,,29440.0,,,35547.0,926.0,92.0,834.0,9.9,202128.125,1772.99151230862
48236,10459,36005012102,49643,0,Census Tract 121.02,New York,Bronx County,22396.0,,19938.0,31667.0,22569.0,20221.0,,,,24848.0,,,23614.0,511.0,28.0,483.0,5.5,86781.94921875,1605.2300759498598
48237,10459,36005012300,303328,0,Census Tract 123,New York,Bronx County,29089.0,,33125.0,35306.0,18050.0,,,,,33403.0,29076.0,,30042.0,1499.0,110.0,1389.0,7.3,530310.2734375,4718.59805070936
48238,10459,36005012500,169640,0,Census Tract 125,New York,Bronx County,32500.0,,40408.0,29049.0,19911.0,45882.0,,,,29216.0,,,29179.0,1348.0,102.0,1246.0,7.6,296580.72265625,2304.97379088801
