Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,All Households that Have One or More Types of Computing Devices,All Households that Have a Desktop or Laptop,Households that have a Desktop or Laptop with No Other Type of Computing Device,All Households that Have a Smartphone,Households that Have a Smartphone with No Other Type of Computing Device,All Households that Have a Tablet or Other Portable Wireless Computer,Households that Have a Tablet or Other Portable Wireless Computer with No Other Type of Computing Device,All Households that Have an Other Computer,Households that Have an Other Computer with No Other Type of Computing Device,Households that Have No Computer,"Percent of Households that Have No Computer, Smartphone, or Tablet",All Households with an Internet Subscription,Households with Dial-up with No Other Type of Internet Subscription,Households with Broadband of Any Type,All Households with Cellular Data Plan,Households with Cellular Data Plan with No Other Type of Internet Subscription,"All Households with Broadband such as Cable, Fiber Optic or DSL","Households with Broadband such as Cable, Fiber Optic or DSL with No Other Type of Internet Subscription",All Households with Satellite Internet Service,Households with Satellite Internet Service with No Other Type of Internet Subscription,Households with Other Service with No Other Type of Internet Subscription,Households with Internet Access without a Subscription,Households with No Internet Access,Percent of Households with No Internet Access,Shape Area,Shape Length
48211,10472,10472,36005007200,213050,0,Census Tract 72,New York,Bronx County,1633,1453,1204,161,1217,152,843,21,142,10,180,11.0,1185,24,1161,781,158,987,324,56,16,0,127,321,19.7,372503.203125,2997.19097519659
48212,10455,10455,36005007300,140161,0,Census Tract 73,New York,Bronx County,1428,1084,838,54,977,130,777,0,43,0,344,24.1,821,0,821,567,54,728,199,74,35,0,46,561,39.3,244939.6484375,2046.2332310006698
48213,10473,10473,36005007400,187162,0,Census Tract 74,New York,Bronx County,1326,1226,1012,152,954,86,781,42,80,0,100,7.5,984,0,984,459,39,912,515,11,0,10,53,289,21.8,327126.5625,2584.65926290808
48214,10455,10455,36005007500,227618,0,Census Tract 75,New York,Bronx County,2296,1808,1473,165,1530,124,1230,25,92,11,488,21.3,1569,0,1569,1150,126,1438,386,5,5,0,61,666,29.0,397828.0,2948.8213031434
48214,10456,10456,36005007500,227618,0,Census Tract 75,New York,Bronx County,2296,1808,1473,165,1530,124,1230,25,92,11,488,21.3,1569,0,1569,1150,126,1438,386,5,5,0,61,666,29.0,397828.0,2948.8213031434
48215,10472,10472,36005007600,217217,0,Census Tract 76,New York,Bronx County,1670,1478,1066,121,1263,179,853,17,163,0,192,11.5,1248,0,1248,756,132,1073,471,21,11,6,83,339,20.3,379812.50390625,2682.26680639098
48216,10455,10455,36005007700,112827,0,Census Tract 77,New York,Bronx County,605,503,381,22,476,43,364,0,50,0,102,16.9,452,0,452,331,79,352,100,49,11,0,24,129,21.3,197201.9140625,1813.3161524491
48216,10456,10456,36005007700,112827,0,Census Tract 77,New York,Bronx County,605,503,381,22,476,43,364,0,50,0,102,16.9,452,0,452,331,79,352,100,49,11,0,24,129,21.3,197201.9140625,1813.3161524491
48216,10459,10459,36005007700,112827,0,Census Tract 77,New York,Bronx County,605,503,381,22,476,43,364,0,50,0,102,16.9,452,0,452,331,79,352,100,49,11,0,24,129,21.3,197201.9140625,1813.3161524491
48217,10472,10472,36005007800,311879,0,Census Tract 78,New York,Bronx County,2117,1847,1659,79,1673,157,1139,0,400,0,270,12.8,1642,18,1624,973,115,1450,596,125,20,0,140,335,15.8,545271.1328125,3558.5982149183797
48218,10455,10455,36005007900,197930,0,Census Tract 79,New York,Bronx County,2377,1834,1327,208,1539,237,1049,28,96,0,543,22.8,1606,0,1606,1265,210,1364,302,41,0,15,161,610,25.7,345908.73046875,3026.8942589926896
48219,10455,10455,36005008300,213932,0,Census Tract 83,New York,Bronx County,2058,1834,1218,53,1695,334,1225,44,99,7,224,10.9,1629,0,1629,1184,270,1359,435,36,0,0,47,382,18.6,373852.25390625,2758.66681398839
48220,10473,10473,36005008400,156789,0,Census Tract 84,New York,Bronx County,743,678,639,33,600,17,435,6,76,0,65,8.7,618,0,618,422,32,580,171,17,0,0,41,84,11.3,274010.0078125,2644.06542709036
48221,10455,10455,36005008500,181658,0,Census Tract 85,New York,Bronx County,1933,1582,1122,69,1453,294,1009,13,185,15,351,18.2,1401,0,1401,1123,105,1288,263,46,0,0,33,499,25.8,317476.48828125,2600.68543501319
48221,10459,10459,36005008500,181658,0,Census Tract 85,New York,Bronx County,1933,1582,1122,69,1453,294,1009,13,185,15,351,18.2,1401,0,1401,1123,105,1288,263,46,0,0,33,499,25.8,317476.48828125,2600.68543501319
48222,10473,10473,36005008600,187658,0,Census Tract 86,New York,Bronx County,1466,1221,970,155,1039,161,522,8,86,0,245,16.7,857,0,857,429,164,693,428,0,0,0,170,439,29.9,327997.58203125,2589.4099737611105
48223,10459,10459,36005008700,213574,0,Census Tract 87,New York,Bronx County,2037,1653,1143,126,1491,260,1072,9,247,0,384,18.9,1517,0,1517,877,72,1427,599,72,0,0,66,454,22.3,373289.80859375,2801.5376865798803
48224,10459,10459,36005008900,110291,0,Census Tract 89,New York,Bronx County,1155,784,507,20,744,133,507,10,118,0,371,32.1,658,0,658,397,19,607,261,12,0,0,32,465,40.3,192765.80078125,2102.59626956035
48225,10465,10465,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,1197,1045,784,134,881,157,549,0,0,0,152,12.7,799,0,799,320,34,728,473,49,6,0,79,319,26.6,1778745.59375,11670.9095454748
48225,10473,10473,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,1197,1045,784,134,881,157,549,0,0,0,152,12.7,799,0,799,320,34,728,473,49,6,0,79,319,26.6,1778745.59375,11670.9095454748
48226,10462,10462,36005009200,310475,0,Census Tract 92,New York,Bronx County,1833,1702,1434,146,1465,108,1015,12,245,15,131,7.1,1516,0,1516,1025,168,1317,448,87,0,0,86,231,12.6,542861.55859375,3696.42321185825
48227,10455,10455,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,1693,1312,1084,70,1228,146,852,0,378,0,381,22.5,1136,0,1136,576,65,1054,495,30,7,0,25,532,31.4,4018113.5390625,10812.8062755401
48227,10474,10474,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,1693,1312,1084,70,1228,146,852,0,378,0,381,22.5,1136,0,1136,576,65,1054,495,30,7,0,25,532,31.4,4018113.5390625,10812.8062755401
48228,10461,10461,36005009600,703455,15353,Census Tract 96,New York,Bronx County,774,656,517,78,527,78,372,20,100,10,118,15.2,577,0,577,347,64,482,197,46,12,0,54,143,18.5,1256916.20703125,5046.2527646485105
