Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population 25 Years and Over in Households,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households,All Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have No Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households,All Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households,All Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer without an Internet Subsription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over who are Not High School Graduates in Households that Have No Computer,Percent of Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Percent of Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Shape Area,Shape Length
49218,11207,11207,36047112000,173003,0,Census Tract 1120,New York,Kings County,2077,369,285,0,220,65,84,1396,1383,0,1171,212,13,312,312,0,255,57,0,97,4.7,22.8,0.9,0.0,301007.7890625,2208.34400811265
49218,11208,11208,36047112000,173003,0,Census Tract 1120,New York,Kings County,2077,369,285,0,220,65,84,1396,1383,0,1171,212,13,312,312,0,255,57,0,97,4.7,22.8,0.9,0.0,301007.7890625,2208.34400811265
49219,11207,11207,36047112200,162285,0,Census Tract 1122,New York,Kings County,2177,497,452,0,302,150,45,1291,1188,0,914,274,103,389,332,0,332,0,57,205,9.4,9.1,8.0,14.7,282327.60546875,2383.3029307800603
49220,11207,11207,36047112400,177849,0,Census Tract 1124,New York,Kings County,2182,124,106,0,106,0,18,1573,1573,0,1387,186,0,485,483,0,425,58,2,20,0.9,14.5,0.0,0.4,309428.3046875,2360.92361980728
49221,11207,11207,36047112600,168500,0,Census Tract 1126,New York,Kings County,2388,493,374,67,197,110,119,1622,1372,0,967,405,250,273,251,0,233,18,22,391,16.4,24.1,15.4,8.1,293152.69921875,2194.62307954491
49222,11207,11207,36047112800,184193,0,Census Tract 1128,New York,Kings County,2662,431,370,0,297,73,61,1755,1616,0,1373,243,139,476,476,0,416,60,0,200,7.5,14.2,7.9,0.0,320424.67578125,2308.1306058271302
49223,11207,11207,36047113000,193832,0,Census Tract 1130,New York,Kings County,2677,437,326,0,282,44,111,1858,1724,0,1588,136,134,382,382,0,382,0,0,245,9.2,25.4,7.2,0.0,337198.93359375,3054.0331496002505
49224,11207,11207,36047113200,196193,0,Census Tract 1132,New York,Kings County,1304,175,161,0,141,20,14,860,846,14,755,77,14,269,269,0,249,20,0,28,2.1,8.0,1.6,0.0,341295.328125,3226.18657100031
49225,11207,11207,36047113400,153420,0,Census Tract 1134,New York,Kings County,1362,333,294,0,238,56,39,893,814,0,655,159,79,136,136,0,132,4,0,118,8.7,11.7,8.8,0.0,266940.49609375,2118.2056317159
49226,11207,11207,36047114201,300918,0,Census Tract 1142.01,New York,Kings County,1047,299,212,0,185,27,87,586,494,0,467,27,92,162,157,0,142,15,5,184,17.6,29.1,15.7,3.1,523770.6484375,4244.73717543197
49227,11207,11207,36047114202,112266,0,Census Tract 1142.02,New York,Kings County,1964,383,362,0,265,97,21,1133,1015,0,913,102,118,448,448,0,398,50,0,139,7.1,5.5,10.4,0.0,195421.44921875,2077.2690624817
49228,11207,11207,36047114400,429912,0,Census Tract 1144,New York,Kings County,1188,312,233,0,217,16,79,754,727,0,642,85,27,122,116,0,50,66,6,112,9.4,25.3,3.6,4.9,748132.33984375,4001.97643478033
49229,11207,11207,36047114600,160101,0,Census Tract 1146,New York,Kings County,2008,659,544,0,397,147,115,1070,936,0,827,109,134,279,259,7,165,87,20,269,13.4,17.5,12.5,7.2,278662.23828125,2380.20441929695
49230,11207,11207,36047115000,158244,0,Census Tract 1150,New York,Kings County,1591,532,513,0,314,199,19,880,826,0,746,80,54,179,179,0,179,0,0,73,4.6,3.6,6.1,0.0,275388.9296875,2104.8015307290398
49230,11208,11208,36047115000,158244,0,Census Tract 1150,New York,Kings County,1591,532,513,0,314,199,19,880,826,0,746,80,54,179,179,0,179,0,0,73,4.6,3.6,6.1,0.0,275388.9296875,2104.8015307290398
49231,11207,11207,36047115200,166136,0,Census Tract 1152,New York,Kings County,1984,577,535,0,521,14,42,1160,1065,0,976,89,95,247,243,0,243,0,4,141,7.1,7.3,8.2,1.6,289112.4453125,2154.77746072546
49232,11207,11207,36047115600,159862,0,Census Tract 1156,New York,Kings County,2361,634,497,0,413,84,137,1532,1356,0,1189,167,176,195,195,0,139,56,0,313,13.3,21.6,11.5,0.0,278154.1640625,2153.41116429007
49233,11207,11207,36047115800,154981,0,Census Tract 1158,New York,Kings County,1821,407,294,0,220,74,113,1216,967,0,858,109,249,198,185,0,163,22,13,375,20.6,27.8,20.5,6.6,269665.359375,2127.7795179974
49234,11207,11207,36047116000,151414,0,Census Tract 1160,New York,Kings County,1478,292,174,0,125,49,118,1046,1000,0,823,177,46,140,140,0,140,0,0,164,11.1,40.4,4.4,0.0,263464.42578125,2107.81533696558
49235,11207,11207,36047116200,143449,0,Census Tract 1162,New York,Kings County,1585,245,164,0,115,49,81,1097,985,8,838,139,112,243,243,0,243,0,0,193,12.2,33.1,10.2,0.0,249606.63671875,2065.59936112103
49236,11208,11208,36047116400,181565,0,Census Tract 1164,New York,Kings County,2181,397,304,0,276,28,93,1525,1402,0,1240,162,123,259,235,0,212,23,24,240,11.0,23.4,8.1,9.3,315939.05859375,2270.85517412582
49237,11208,11208,36047116600,159392,0,Census Tract 1166,New York,Kings County,1793,249,226,0,204,22,23,1177,1102,0,961,141,75,367,360,0,336,24,7,105,5.9,9.2,6.4,1.9,277389.71484375,2111.60382834953
49238,11208,11208,36047116800,143956,0,Census Tract 1168,New York,Kings County,1137,276,195,0,195,0,81,686,631,0,626,5,55,175,175,0,175,0,0,136,12.0,29.3,8.0,0.0,250557.640625,2194.08873144571
49239,11207,11207,36047117000,153813,0,Census Tract 1170,New York,Kings County,998,323,290,0,240,50,33,602,578,0,527,51,24,73,73,0,65,8,0,57,5.7,10.2,4.0,0.0,267700.73828125,2146.1111866767396
49239,11208,11208,36047117000,153813,0,Census Tract 1170,New York,Kings County,998,323,290,0,240,50,33,602,578,0,527,51,24,73,73,0,65,8,0,57,5.7,10.2,4.0,0.0,267700.73828125,2146.1111866767396
49240,11207,11207,36047117201,129147,0,Census Tract 1172.01,New York,Kings County,1627,441,399,0,326,73,42,1040,884,0,806,78,156,146,143,0,120,23,3,201,12.4,9.5,15.0,2.1,224796.05859375,2071.3271066574
49240,11208,11208,36047117201,129147,0,Census Tract 1172.01,New York,Kings County,1627,441,399,0,326,73,42,1040,884,0,806,78,156,146,143,0,120,23,3,201,12.4,9.5,15.0,2.1,224796.05859375,2071.3271066574
49241,11208,11208,36047117202,151827,0,Census Tract 1172.02,New York,Kings County,2135,517,406,0,358,48,111,1186,1079,0,995,84,107,432,379,0,379,0,53,271,12.7,21.5,9.0,12.3,264289.40234375,2088.91460876661
49242,11208,11208,36047117400,212859,0,Census Tract 1174,New York,Kings County,2817,523,513,0,473,40,10,2112,2065,0,1975,90,47,182,182,0,157,25,0,57,2.0,1.9,2.2,0.0,370526.42578125,2750.80358572685
